web-scraper-order,web-scraper-start-url,book-rank,book-rank-href,book-page,book-page-href,book-link,book-link-href,Name,Author,Category,Price,Rate,Comment,Rating-number,Sold-number
1633940430-506,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,4,https://tiki.vn/sach-truyen-tieng-viet/c316?page=4&sort=newest,Sách - Tuyển tập tranh tô màu Phong Thần Bảng - Vạn tiên trận76.500 ₫,https://tiki.vn/sach-tuyen-tap-tranh-to-mau-phong-than-bang-van-tien-tran-p127930031.html?spid=127930032,Sách - Tuyển tập tranh tô màu Phong Thần Bảng - Vạn tiên trận,"Mèo Lọc Cọc,",Điện Ảnh - Nhạc - Họa,76.500 ₫,,,,
1633940199-425,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,Sách: Nuôi Dưỡng Những Tư Duy Vĩ Đại110.000 ₫,https://tiki.vn/sach-nuoi-duong-nhung-tu-duy-vi-dai-p127479166.html?spid=127479167,Sách: Nuôi Dưỡng Những Tư Duy Vĩ Đại,nhieu tac gia,Sách Bà mẹ - Em bé,110.000 ₫,,,,
1633940642-581,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,2,https://tiki.vn/sach-truyen-tieng-viet/c316?page=2&sort=newest,CC - Bí quyết chinh phục điểm cao môn toán 11/2112.500 ₫-25%,https://tiki.vn/cc-bi-quyet-chinh-phuc-diem-cao-mon-toan-11-2-p128356677.html?spid=128356678,CC - Bí quyết chinh phục điểm cao môn toán 11/2,,Sách Tham Khảo,112.500 ₫,,,,
1633940224-433,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,Say Cool To English - Say Yes To Phrasal Verbs!: Chào Đón Cụm Động Từ!44.800 ₫-20%,https://tiki.vn/say-cool-to-english-say-yes-to-phrasal-verbs-chao-don-cum-dong-tu-p127599453.html?spid=127599455,Say Cool To English - Say Yes To Phrasal Verbs!: Chào Đón Cụm Động Từ!,"C. Lee,",Sách thiếu nhi,44.800 ₫,,,,
1633940415-501,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,4,https://tiki.vn/sach-truyen-tieng-viet/c316?page=4&sort=newest,Sách - Kỹ Thuật Cắt May Căn Bản - Các Loại Váy Trang Phục Nam - Nữ - Thiếu Nhi - Năm 2021 - Quỳnh Hương93.220 ₫,https://tiki.vn/sach-ky-thuat-cat-may-can-ban-cac-loai-vay-trang-phuc-nam-nu-thieu-nhi-nam-2021-quynh-huong-p127707510.html?spid=127707511,Sách - Kỹ Thuật Cắt May Căn Bản - Các Loại Váy Trang Phục Nam - Nữ - Thiếu Nhi - Năm 2021 - Quỳnh Hương,Quỳnh Hương,Sách Thường Thức - Gia Đình,93.220 ₫,,,,
1633940469-520,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Sách - Trên cả lý thuyết - Những bài học kinh doanh Steve Jobs để lại cho thế giới95.000 ₫,https://tiki.vn/sach-tren-ca-ly-thuyet-nhung-bai-hoc-kinh-doanh-steve-jobs-de-lai-cho-the-gioi-p113528587.html?spid=113528595,Sách - Trên cả lý thuyết - Những bài học kinh doanh Steve Jobs để lại cho thế giới,Triệu Văn Minh,Sách kinh tế,95.000 ₫,,,,
1633940267-448,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,Những Đứa Trẻ Tò Mò - Wondrous Children: So Much Fun! Thật Là Vui!25.200 ₫-10%,https://tiki.vn/nhung-dua-tre-to-mo-wondrous-children-so-much-fun-that-la-vui-p127671578.html?spid=127671579,Những Đứa Trẻ Tò Mò - Wondrous Children: So Much Fun! Thật Là Vui!,"Gong Ruping,",Sách thiếu nhi,25.200 ₫,,,,
1633940299-460,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,KHÔNG GIA ĐÌNH (Bìa cứng)159.000 ₫,https://tiki.vn/khong-gia-dinh-bia-cung-p127649149.html?spid=127649150,KHÔNG GIA ĐÌNH (Bìa cứng),Hector Malot,Sách văn học,159.000 ₫,,,,
1633940390-491,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,4,https://tiki.vn/sach-truyen-tieng-viet/c316?page=4&sort=newest,CC - Bí quyết tăng nhanh điểm kiểm tra vật lí 9187.500 ₫,https://tiki.vn/cc-bi-quyet-tang-nhanh-diem-kiem-tra-vat-li-9-p127805722.html?spid=127805723,CC - Bí quyết tăng nhanh điểm kiểm tra vật lí 9,,Sách Tham Khảo,187.500 ₫,,,,
1633940308-461,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,4,https://tiki.vn/sach-truyen-tieng-viet/c316?page=4&sort=newest,"combo Đừng ép con phải ngoan, Mẹ ơi con cũng muốn được lắng nghe, Đánh bại kẻ cắp niềm vui221.000 ₫",https://tiki.vn/combo-dung-ep-con-phai-ngoan-me-oi-con-cung-muon-duoc-lang-nghe-danh-bai-ke-cap-niem-vui-p127758924.html?spid=127919855,"combo Đừng ép con phải ngoan, Mẹ ơi con cũng muốn được lắng nghe, Đánh bại kẻ cắp niềm vui",,Sách Bà mẹ - Em bé,221.000 ₫,,,,
