,PID,book-rank,book-link-href,Name,Author,Category,Price,Rating-number,Sold-number
17,109017985,Phổ biến,https://tiki.vn/thien-tai-ben-trai-ke-dien-ben-phai-tai-ban-p109017985.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,Sách văn học,146780.0,3.0,10.0
18,23416722,Phổ biến,https://tiki.vn/how-the-body-works-hieu-het-ve-co-the-p23416722.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.23416722,How The Body Works - Hiểu Hết Về Cơ Thể,Phạm Hằng Nguyên,Sách Y Học,240000.0,17.0,126.0
19,104273017,Phổ biến,https://tiki.vn/combo-2-tap-tang-thong-khi-p104273017.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.104273017,Combo 2 Tập: Tăng Thông Khí,J.Soori,Sách văn học,194000.0,5.0,20.0
20,94803796,Phổ biến,https://tiki.vn/tuong-lai-sau-dai-dich-covid-p94803796.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.94803796,Tương Lai Sau Đại Dịch Covid,Jason Schenker,Sách Kiến Thức Tổng Hợp,95700.0,6.0,47.0
21,555504,Phổ biến,https://tiki.vn/dac-nhan-tam-bia-cung-tai-ban-p555504.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.555504,Đắc Nhân Tâm (Bìa Cứng) - Tái Bản,Dale Carnegie,Sách kỹ năng sống,103000.0,1.0,7.0
22,97824280,Phổ biến,https://tiki.vn/tho-bay-mau-va-nhung-nguoi-nghi-no-la-ban-p97824280.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.97824280,Thỏ Bảy Màu Và Những Người Nghĩ Nó Là Bạn,Huỳnh Thái Ngọc,"Truyện Tranh, Manga, Comic",59400.0,1087.0,1000.0
23,87226754,Phổ biến,https://tiki.vn/mot-cuon-sach-buon-cuoi-vui-ve-khong-quau-nha-2-p87226754.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.87226754,Một Cuốn Sách Buồn… Cười - Vui Vẻ Không Quạu Nha 2,Ở Đây Zui Nè,Sách văn học,64780.0,173.0,641.0
24,49249526,Phổ biến,https://tiki.vn/thiet-ke-cuoc-doi-thinh-vuong-design-a-prosperous-life-p49249526.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.49249526,Thiết Kế Cuộc Đời Thịnh Vượng - Design a Prosperous Life,Thái Phạm,Sách kỹ năng sống,299000.0,2318.0,1000.0
25,71907876,Phổ biến,https://tiki.vn/tu-dien-tieng-em-p71907876.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.71907876,Từ Điển Tiếng “Em”,Khotudien,Sách văn học,55200.0,273.0,797.0
26,90679276,Phổ biến,https://tiki.vn/mo-cua-tuong-lai-p90679276.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.90679276,Mở Cửa Tương Lai,Nguyễn Phi Vân,Sách kỹ năng sống,200000.0,16.0,90.0
